"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"883","WAACEK0003-58507","WAACEK0003",58507,"NC","WAA  007782","WAA  007760","None","None","None","None","WAA  007990","WAA  007776","WAA  007984","Corymbia cadophora subsp. cadophora mixed woodland with a ground stratum of Triodia caelestialis, Cymbopogon bombycinus,Heteropogon and some annual grasses.",FALSE
"884","NSABHC0004-53599","NSABHC0004",53599,NA,NA,NA,NA,NA,NA,NA,"NSA00585","NSA00617","NSA00625","Maireana pyramidata low open Chenopod shrubland andEnneapogon avenaceus low sparse tussock grassland.",FALSE
"885","SAAKAN0013-58880","SAAKAN0013",58880,"Climate conditions are wet with solid rain falling over the last month and heavy rainfall in the last 24-48 hours. The vegetation response is fruiting and flowering. The Orthrosanthus multiflorus are flowering consistently throughout the site while the Eucalyptus cosmophylla are flowering sporadically. The other Eucalyptus species are not flowering at this time and neither are the Xanthorrhoea semiplana subsp. tateana or Lepidosperma canescens. There is old fruit present on some individuals of Hakea rostrata and Allocasuarina muelleriana subsp. notocolpica.","SAA014372","SAA014362","SAA014364","SAA014406","SAA014396","SAA014362","SAA014422","SAA014394","SAA014422","Eucalyptus baxteri / Eucalyptus cosmophylla low open forest with Eucalyptus obliqua (6-7m). A  midstorey of Xanthorrhoea semiplana subsp. tateana (2m) with  Hakea rostrata and other scattered shrubs. The ground layer is dominated by Lepidosperma canescens with Orthrosanthus multiflorus and Isopogon ceratophyllus (30cm).",FALSE
"886","NSANET0003-58725","NSANET0003",58725,"NC","NSA016203","NSA016197","NSA016195","NSA016149","NSA016171","NSA016091","NSA016159","NSA016115","NSA016123","Upper stratum dominated by Eucalyptus laevopinea and Eucalyptus dalrympleana subsp. heptantha. Open mid stratum of Acacia dealbata, Bursaria spinosa subsp. spinosa and Xanthorrhoea glauca subsp. glauca. Ground stratum dominated by Anthosachne scabra, Poa sieberiana var. sieberiana and Rytidosperma racemosum var. racemosum and other scattered forbs.
 ",FALSE
"887","SAAKAN0001-58893","SAAKAN0001",58893,"The climate response is wet-  rain in the past week. Hibbertia devitata, Thysanotus patersonii, Boronia edwardsii and the Pultenaea viscidula are fruiting and flowering as well as the Allocasuarina striata. The Eucalyptus baxteri and Eucalyptus obliqua have maturing pod and buds, but no flowers. ","SAA014852","SAA015052","SAA014848","SAA015006","SAA015014","SAA014832","SAA015008","SAA015022","SAA014834","Eucalyptus baxteri ( 7-9m) low woodland with Eucalyptus obliqua.  A mid-storey is a mix of Xanthorrhoea semiplana subsp. tateana, Allocasuarina striata and Hakea rostrata. Ground storey is dominated by Hibbertia devitata with Lepidosperma viscidum and Lepidosperma canescens.",FALSE
"888","SAAKAN0001-58610","SAAKAN0001",58610,"NC","SAA007779","SAA007777","None","SAA007805","SAA007766","SAA007797","SAA006809","SAA007807","SAA007785","Eucalyptus baxteri low open forest with Eucalyptus obliqua.  A mid-storey is a mix of Xanthorrhoea semiplana subsp. tateana, Allocasuarina striata and Eucalyptus cosmophylla. Ground storey is dominated by Lepidosperma viscidum and Hibbertia devitata with Lepidosperma semiteres, and Acrotriche depressa",FALSE
"889","NTAGFU0023-53670","NTAGFU0023",53670,"Mass flowering in Grevillea pteridifolia, Grevillea dryandri and Jacksonia odontoclada. Acacia hammondii is flowering throughout. Petalostigma quadriloculare has just finished fruiting with the occasional shrub having residual fruit. No fruit or flowers on Corymbia candida.","","","","NTA 003073","NTA 003067","NTA 003074","NTA 003068","NTA 003069","NTA 003075","Grevillea pteridifolia/Jacksonia odontoclada low shrubland with a diverse ground stratum dominated by Triodia bitextura, Acacia gonocarpa and Grevillea dryandri. Some Emergent Corymbia candida.",FALSE
"890","SAAKAN0004-58623","SAAKAN0004",58623,"NC","SAA007936","SAA007932","SAA007930","SAA007926","SAA007942","SAA007914","SAA007952","SAA007910","SAA007944","Eucalyptus baxteri and Eucalyptus obliqua low woodland with midlayer of Eucalyptus cosmophylla, Banksia marginata, Banksia ornata, Hakea rostrata, Xanthorrhoea semiplana subsp. tateana as well as Leptospermum myrsinoidesand ground shrub layer of Leucopogon concurvus, Isopogon ceratophyllus, Petrophila multisecta, Tetratheca insularis, Boronia edwardsii, Dillwynia sericea, Hibbertia devitata as well as Daviesia asperula subsp. asperula. 

",TRUE
"891","SAAKAN0004-58877","SAAKAN0004",58877,"The climate is wet with significant rainfall over last few weeks and especially the last few days with 20-30 mm falling. The vegetation response is regenerating. Xanthorrhoea semiplana subsp. tateana are flowering or have just finished flowering and some of the Tetratheca insularis are flowering but otherwise everything else is still regenerating post-fire.","SAA014126","SAA014128","NO_BARCODE_DEAD_TREE_576836","SAA014226","SAA014208","SAA014206","SAA014183","SAA014198","SAA014234","Eucalyptus baxteri (7m tall) low open woodland with Eucalyptus obliqua.  A midstorey of Xanthorrhoea semiplana subsp. tateana (1.5m tall) with sparse Banksia marginata and   Allocasuarina striata and Hakea rostrata,  The groundstorey is sparse (~10cm high) with regenerating Leucopogon concurvus, Petrophile multisecta and Drosera auriculata and other forbs.",FALSE
"892","WAANOK0007-58762","WAANOK0007",58762,"Very dry, less than half average rainfall recorded for previous wet season. Vegetation response is dry","WAA018532",NA,NA,"WAA018764","WAA018532","WAA018756","WAA018524","WAA018518","WAA018766","Corymbia dichromophloia mid open woodland.  A sparse mid story dominated by Grewia savannicola with some juvenile Corymbia dichromophloia and Terminalia platyphylla . A ground story dominated by Heteropogon contortus with Themeda quadrivalvis and Themeda arguens.
",FALSE
"893","NSABHC0006-53601","NSABHC0006",53601,NA,NA,NA,NA,NA,NA,NA,"AUG 000268","NSA00863","AUG 000271","Enneapogon avenaceus low open tussock grassland to Sclerolaena sp. sparse chenopod shrubland.",FALSE
"894","WAAGVD0007-59050","WAAGVD0007",59050,"Climate response is wet. Rain in the last week.
Vegetation response is dry. Triodia tomentosa browning off. Some regeneration of the mallee, some shrubs present.

","WAA  004796","WAA  004794","WAA  004792","WAA  004800","WAA  004824","WAA  004822","WAA  004810","None","None","Upper stratum dominated by Eucalyptus cylindrocarpa and Eucalyptus spp. (3-6m) mallee woodland. Mid stratum dominated by Acacia ligulata, Eremophila longifolia and Acacia hemiteles shrubland (0.5-1.5m). Ground stratum dominated by Triodia tomentosa (<0.3m) hummock grassland
",FALSE
"895","WAAGVD0009-59051","WAAGVD0009",59051,"Climate response is wet. Rain a week ago.
Vegetation response is dry. A lot of the vegetation is quite green. No plants in flower. Fruit on Eucalyptus gongylocarpa, no buds. A number of juvenile Eucalyptus gongylocarpa, Callitris verrucosa and Hakea minyma between 1-2m tall.

","WAA027976","None","None","WAA027984","WAA027860","WAA027862","WAA027964","WAA033045","None","Upper stratum dominated by Eucalyptus gongylocarpa (7-9m) low open woodland. Mid stratum dominated by Hakea minyma (1-2m), Acacia ligulata (1m) and Callitris verrucosa (1-2m) shrubland. Ground stratum dominated by Triodia tomentosa (0.1-0.2m) and Eremophila forrestii subsp. forrestii (0.5m) hummock grassland",FALSE
"896","SAAEYB0030-58856","SAAEYB0030",58856,"Climate is dry (scattered showers in past two days, soil not wet). Vegetation response is dry. Some of the Eucalyptus oleosa subsp. oleosa has immature fruit, some Olearia muelleri flowering, grasses have dropped their seeds and a few fruit on some of the chenopods.","SAA015608","None","None","SAA015628","SAA020811","SAA020805","SAA015586",NA,NA,"Eucalyptus oleosa subsp. oleosa (4-7m) low open Mallee woodland. Mid storey is a mixed mid sparse shrubland of Geijera linearifolia, Alyxia buxifolia, Beyeria lechenaultii with Westringia rigida and Dodonaea stenozyga. A very sparse ground layer with only Lomandra effusa having significant cover.",FALSE
"897","QDADEU0002-58962","QDADEU0002",58962,"Climate response is wet with rain the previous day and up to 75ml in the last week. Vegetation response is active vegetation growth. Most grasses are green with some only just re-sprouting after drying out, including Schizachyrium fragile.  ","QDA027243","QDA027101","None","None","None","None","QDA027091","QDA027207","QDA027215","Upper stratum dominated by Eucalyptus melanophloia subsp. melanophloia with scattered Corymbia clarksoniana mid open woodland (11m). Mid stratum of Erythroxylum australe and Carissa lanceolata (1m) shrubland. Ground stratum (0.2m) dominated by Schizachyrium fragile, Bothriochloa pertusa and Aristida latifolia with Perotis rara tussock grassland.
 
 
",FALSE
"898","QDASEQ0001-58960","QDASEQ0001",58960,"Climate response is wet, with approximately 300mm of rain in past week. Vegetation response is active vegetation growth, but no flowering or fruiting.","QDA028052","QDA028030","QDA022907","QDA022892","QDA022882","QDA028012","QDA022924","QDA022910","QDA022948","Lophostemon confertus (13m) mid woodland with Eucalyptus crebra (18m), Corymbia intermedia and Jagera pseudorhus var. pseudorhus.. A lower upper storey dominated by Acacia disparrima subsp. disparrima and Parsonsia straminea. A mid layer dominated by Acacia disparrima subsp. disparrima with  Alphitonia excelsa and  Myrsine variabilis. A ground storey dominated by Arundinella nepalensis with Lomandra multiflora subsp. multiflora, Cymbopogon refractus and Ottochloa gracillima  (all 0.2 - 0.3m)",FALSE
"899","WAACOO0020-53450","WAACOO0020",53450,NA,"WAA COO  001714","WAA COO  001763",NA,"WAA COO  001720","WAA COO  001728","WAA COO  001744","WAA COO  001745",NA,NA,"Eucalyptus salmonophloia mid woodland with Eucalyptus salubris. Mid stratum dominated  Eremophila scoparia  (1-2m) with Maireana sedifolia, Maireana trichoptera and isolated Maireana triptera and Atriplex nummularia subsp. spathulata. Sparse ground stratum dominated by  Sclerolaena diacantha.",FALSE
"900","NSABHC0005-53600","NSABHC0005",53600,NA,NA,NA,NA,NA,NA,NA,"NSA00705","NSA00673","NSA00701","Astrebla pectinata/ Enneapogon avenaceus low open tussock grassland.",FALSE
"901","QDAEIU0004-53524","QDAEIU0004",53524,"","QDA  002365","","","","","","QDA  002425","QDA  002387","QDA  002319","Eucalyptus crebra mid open woodland with a closed tussock grassland understratum dominated by Heteropogon contortus/ triticeus, Themeda triandra and Capillipedium parviflorum. No mid stratum.",FALSE
"902","QDAGUP0031-59142","QDAGUP0031",59142,"The Melaleucas aren’t currently fruiting or flowering, however lots of grasses, forbs and herbs are. It rained recently in the past month. The soil is dry. There is active growth with the Melaleucas.
 

","QDA030359","QDA030365","NO_BARCODE_DEAD_TREE_877501","QDA030359","QDA030365","QDA030369","QDA030711","QDA030699","QDA030671","Upper stratum dominated by Melaleuca citrolens and Melaleuca viridiflora low open woodland. Mid stratum dominated by Melaleuca citrolens, Melaleuca viridiflora and Grevillea pteridifolia. Ground stratum dominated by Eriachne armitii, Aristida holathera var. holathera and Ectrosia gulliveri tussock grassland
",FALSE
"903","QDAGUP0031-53490","QDAGUP0031",53490,"","QDA  004919","QDA  004949","","","","","QDA  004945","QDA  004947","QDA  004937","Melaleuca citrolens low open woodland with Melaleuca viridiflora. Ground stratum dominated by Eriachne spp., Schizachyrium fragile and Aristida spp. ",FALSE
"904","SAAKAN0010-58895","SAAKAN0010",58895,"Wet- recent previous week. Vegetation response is active vegetation growth. Thysanotus patersonii, Orthrosanthus multiflorus Melaleuca gibbosa, Veronica hillebrandii, Logania ovata  and Goodenia varia flowering . Orchids had finished. Eucalptus spp. species have fruit but haven’t shed seed. Occasional flower on Acacia species but most are not flowering.","SAA015386","SAA015304","SAA015272","SAA015404","SAA015292","SAA015492","SAA015406","SAA015400","SAA015388","Eucalyptus diversifolia subsp. diversifolia /Eucalyptus rugosa ( 5-6m)   low mallee woodland with Eucalyptus oleosa subsp. ampliata . A mid layer dominated by Melaleuca lanceolata and Melaleuca gibbosa (2m) with Acacia triquetra. A diverse shruby ground layer of Orthrosanthus multiflorus, Dodonaea humilis and Pomaderris obcordata and small forbs. A few isolated Callitris sp. Limestone (M.D.Crisp 11785)

Eucalyptus albopurpurea and Eucalyptus oleosa subsp. ampliata may have been miss-identified in the transects in both visits",FALSE
"905","SAAKAN0010-58627","SAAKAN0010",58627,"NC","SAA008604","SAA008646","SAA008632","SAA008638","SAA008598","SAA008654","SAA008590","SAA008652","SAA008642","Eucalyptus albopurpurea, Eucalyptus diversifolia, Eucalyptus rugosa and Melaleuca lanceolata mixed woodland with midlayer of Acacia triquetra, juvenile Eucalyptus and Choretrum glomeratum and a ground shrub layer of Dodonaea humilis, Correa sp. as well as Orthrosanthus multiflorus. 

Eucalyptus albopurpurea ( Collected in 2018 visit) and Eucalyptus oleosa subsp. ampliata ( collected in 2020 visit) may have been miss-identified in the transects in both visits",FALSE
"906","QDAGUP0032-59143","QDAGUP0032",59143,"There has been recent rainfall in the past 3 weeks, with heavy rain and the ground is still wet. The grasses are flowering or setting seed. The Corymbia spp. and Eucalyptus leptophleba have fruit or are starting to drop seed. The Acacias in the plot are flowering, as well as the forb layer with Malvastrum coromandelianum, Melhania oblongifolia and legumes such as Desmodium filiforme which mostly had fruit and flowers.  ","QDA030041","QDA030113","QDA030051","QDA030105","QDA030113","QDA030041","QDA030089","QDA030015","QDA030091","Upper stratum dominated by Corymbia confertiflora, Eucalyptus leptophleba and Corymbia gilbertensis mid open woodland. Mid stratum of Atalaya hemiglauca, Eucalyptus leptophleba and Corymbia confertiflora. Ground stratum dominated by Heteropogon contortus, Aristida acuta and Chrysopogon sp. tussock grassland",TRUE
"907","SAAKAN0011-58879","SAAKAN0011",58879,"The climate is wet with consistent rainfall over the past few months and heavy showers within the past week. The vegetation response is active vegetation growth with very few species fruiting or flowering.","SAA015332","None","None","SAA015306","SAA015308","SAA015318","SAA015338","None","None","Eucalyptus cneorifolia tall open mallee forest. A mid layer of scattered shrubby pockets of Thryptomene ericaea, Acacia paradoxa and Correa reflexa var. insularis. Lepidosperma viscidum in scattered clumps in the ground layer with isolated Aira cupaniana and Asparagus asparagoides f. asparagoides.",FALSE
